Performance Score,Performance Appraisal Rating,Adaptability,Collaboration,Communication,Conflict Resolution,Decision Making,Drive,Emotional Balance,Empathy,Influence,Innovation,Learning Mindset,Ownership,Positivity,Problem Solving,Resilience,Self Awareness,Sincerity,Structure,Trust
3.12,Good,10,10,10,10,9,10,9,8,9,9,8,8,8,9,9,8,8,9,9
2.88,Good,9,8,7,7,9,9,7,8,8,7,6,8,7,9,7,8,10,8,7
3,Good,8,9,9,7,9,8,7,6,7,7,7,8,7,7,8,8,6,8,9
3.12,Good,7,7,7,6,6,6,6,5,5,6,7,8,6,8,7,7,4,8,6
3,Good,9,8,7,6,9,7,8,5,7,9,5,8,7,8,6,7,7,8,7
3,Good,7,8,5,7,4,6,9,7,8,6,6,7,6,6,6,7,7,8,6
3.12,Good,9,10,9,8,9,6,6,4,9,8,5,9,9,9,8,7,7,9,5
3.06,Good,9,9,8,9,9,8,10,10,7,6,7,8,7,10,7,8,9,9,9
3.1,Good,9,7,8,8,7,8,8,8,6,7,7,8,7,7,8,8,8,9,5
3.23,Good,8,8,7,7,7,8,6,6,6,7,8,8,7,7,6,6,8,8,5
3,Good,9,8,9,8,8,10,9,8,8,7,6,7,9,8,7,8,6,9,7
3,Good,9,5,7,6,7,9,8,6,8,6,7,9,7,9,7,9,8,9,7
3,Good,10,9,8,8,7,6,5,8,7,8,7,8,7,7,8,9,10,9,9
3,Good,8,9,9,8,8,9,8,8,8,6,7,7,7,7,7,8,10,8,7
3,Good,7,7,8,8,8,9,9,8,8,9,7,8,7,8,7,8,7,8,7
3.12,Good,8,8,7,7,8,7,8,7,8,8,8,8,8,8,8,8,7,7,6
3,Good,7,8,7,7,8,7,7,6,8,7,5,8,7,7,8,8,6,8,6
3,Good,8,7,8,9,7,8,8,3,7,7,7,8,7,8,7,8,9,8,7
2.88,Good,10,9,9,7,10,10,8,7,7,9,7,10,7,8,8,8,8,8,4
3.12,Good,5,7,10,8,7,10,5,8,6,10,7,10,8,9,5,3,10,7,9
2.81,Good,6,9,8,7,8,8,6,9,8,7,9,7,6,6,7,7,7,9,7
3.35,Good,8,8,8,5,8,8,7,7,9,9,6,8,7,6,7,6,8,9,5
3,Good,6,7,7,7,7,10,7,7,6,8,7,9,8,7,6,8,8,8,5
2.82,Good,9,9,9,8,8,5,8,9,9,9,6,8,7,8,8,8,6,9,7
3,Good,8,7,7,7,7,9,9,8,7,7,6,7,7,6,7,7,8,8,7
3,Good,10,9,9,8,9,8,7,8,7,9,9,8,8,9,8,9,7,9,7
3,Good,9,7,7,8,8,9,6,5,7,7,3,9,7,7,7,5,8,9,7
3.58,Good,9,5,10,9,10,7,9,10,10,10,6,10,10,10,10,7,10,8,6
3,Good,9,10,10,9,10,10,8,9,9,9,5,9,9,9,9,9,9,8,5
2.88,Good,7,7,6,8,8,8,8,7,5,6,7,6,7,5,7,7,7,8,8
3.18,Good,10,9,8,9,8,7,8,4,8,10,5,10,10,10,10,9,10,10,4
3,Good,9,9,7,9,8,7,7,6,9,9,6,10,8,6,7,8,9,9,7
3.35,Good,9,9,9,8,9,10,7,9,9,9,8,10,8,8,6,8,9,10,7
2.88,Good,6,8,7,7,7,7,7,8,7,6,8,8,7,5,6,7,7,6,7
3,Good,10,9,9,8,9,10,8,8,9,9,7,8,9,10,8,9,10,10,9
3.18,Good,9,8,8,8,9,9,8,8,4,7,8,7,10,9,9,9,6,8,6
3.12,Good,9,9,8,7,8,8,8,7,8,8,7,7,7,7,7,7,6,9,8
3,Good,10,7,9,9,9,10,7,9,8,10,8,10,8,10,9,8,10,9,5
3.12,Good,10,9,8,7,9,10,8,7,9,6,6,9,8,9,8,8,10,8,8
2.88,Good,9,7,7,5,7,9,7,5,7,5,5,9,7,4,6,4,7,8,6
3,Good,8,9,7,7,8,9,9,8,8,5,7,8,10,6,8,8,7,8,6
3,Good,7,7,10,7,9,9,8,6,7,8,9,9,8,9,9,7,6,7,6
3.5,Good,5,7,9,6,7,10,5,6,7,8,7,9,10,5,7,5,8,8,1
3.12,Good,9,8,9,8,8,8,7,9,8,9,6,8,7,9,6,6,9,9,4
3,Good,10,8,10,8,9,8,7,3,10,10,7,10,7,8,7,8,10,8,6
3,Good,10,9,9,6,8,10,7,8,10,10,4,10,10,9,7,7,9,10,3
3,Good,9,9,10,5,10,10,8,8,9,8,6,10,7,9,7,6,9,10,7
3,Good,9,9,8,8,10,7,8,7,7,10,6,10,9,7,6,8,9,10,7
3.12,Good,8,7,8,9,7,9,8,4,5,8,4,10,9,6,8,7,10,9,4
3.23,Good,10,10,8,9,10,10,9,8,10,10,10,10,9,10,10,9,9,10,8
3.32,Good,9,10,10,9,10,9,8,8,10,10,6,10,8,9,8,9,9,10,8
3,Good,9,7,10,8,8,9,8,9,9,8,4,10,7,7,8,8,10,8,3
2.81,Good,9,8,9,9,9,9,9,8,8,8,6,8,7,8,8,10,10,9,7
3,Good,9,8,10,9,9,10,8,7,6,8,6,9,9,10,9,8,10,10,6
3,Good,9,7,7,7,7,9,8,6,7,8,8,8,7,5,7,7,7,8,8
2.75,Good,9,8,8,7,7,10,9,8,7,7,7,10,10,8,8,9,10,10,7
2.88,Good,8,9,9,7,7,10,8,3,4,8,8,8,9,6,6,6,7,10,5
3.33,Good,9,9,9,9,9,9,10,9,8,8,10,8,8,10,8,9,7,8,9
3,Good,10,7,9,9,5,8,6,7,9,8,6,9,8,8,7,7,9,7,5
3,Good,8,9,9,9,10,8,9,9,8,9,6,8,7,8,8,8,8,8,8
2.82,Good,6,7,6,9,8,10,8,8,4,5,7,10,8,5,5,10,7,9,8
3,Good,9,10,9,8,9,9,9,9,9,7,7,8,8,7,8,10,9,9,8
2.76,Good,10,8,10,10,10,9,9,9,9,10,10,10,8,10,9,8,10,9,5
3.32,Good,9,9,9,8,9,10,8,7,8,8,7,8,9,8,7,7,10,9,7
3,Good,10,8,9,7,8,9,9,8,9,7,4,10,8,5,8,8,10,9,4
3,Good,9,10,8,8,8,7,8,9,9,8,7,10,9,8,9,8,10,9,7
3,Good,10,10,8,10,8,7,8,7,8,10,8,10,10,10,10,10,10,9,8
2.88,Good,10,9,9,8,8,8,8,9,8,8,8,7,7,8,7,9,8,9,9
3.35,Good,9,9,9,9,9,10,7,7,8,7,8,10,8,8,8,7,8,9,8
2.88,Good,9,9,10,9,8,10,5,6,9,10,7,10,10,9,8,10,8,9,7
3,Good,8,8,8,8,6,10,9,7,7,7,6,10,8,6,8,6,10,10,7
3,Good,9,10,8,7,7,10,7,7,8,8,8,9,7,9,8,7,8,10,4
3.23,Good,10,9,8,8,9,10,7,10,7,10,9,10,9,10,8,10,10,10,5
3.12,Good,8,10,9,7,8,10,9,8,8,9,8,10,9,8,8,5,10,10,7
3,Good,10,10,10,8,10,10,10,9,9,9,8,10,8,9,8,9,10,10,9
2.76,Good,9,9,9,9,9,10,9,9,9,10,8,8,9,9,8,9,8,9,8
3.43,Good,9,9,9,9,9,10,8,9,9,10,10,10,9,9,7,9,10,7,9
2.88,Good,10,7,9,9,9,9,10,10,7,10,9,10,10,10,10,9,10,10,7
3,Good,10,9,10,8,10,9,9,9,9,9,10,8,8,10,9,9,7,9,10
3.18,Good,10,10,10,9,10,10,10,10,10,10,8,10,10,10,10,10,10,9,10
3,Good,10,9,10,10,10,10,10,7,9,10,9,10,10,10,10,10,10,9,9
2.94,Good,10,10,9,8,9,10,9,9,10,10,8,9,9,9,9,9,7,10,6
2.94,Good,9,9,10,9,10,10,9,9,9,10,10,7,7,9,7,9,7,8,6
2.77,Good,10,9,10,9,9,10,9,10,10,10,10,10,10,10,9,9,10,10,9
3.22,Good,10,10,9,9,9,10,8,9,5,8,8,10,10,9,8,10,10,9,4
3.2,Good,10,10,10,9,8,10,7,8,9,9,7,10,9,10,9,8,7,10,6
3.12,Good,10,9,10,9,9,10,9,7,5,9,7,10,10,7,10,5,10,10,7
3,Good,9,9,10,9,10,10,7,9,8,9,7,10,8,8,7,7,8,9,8
3.2,Good,10,9,10,10,10,10,10,10,10,8,8,8,8,10,9,9,10,10,9
3.06,Good,10,10,10,8,10,10,7,9,10,9,5,10,10,10,9,8,9,10,8
2.88,Good,10,9,9,9,9,9,10,8,7,8,8,10,8,8,8,9,10,10,9
3,Good,10,9,10,9,7,10,9,8,6,8,8,10,9,10,8,6,10,10,7
3.12,Good,10,10,10,9,10,10,10,9,10,10,8,10,9,10,10,10,10,10,9
3.17,Good,10,9,9,9,9,9,8,9,9,8,9,10,8,9,8,10,10,9,9
3,Good,10,10,10,10,8,9,9,8,9,10,7,10,8,9,8,9,10,10,7
3,Good,10,10,9,10,8,9,6,7,10,10,8,10,10,10,10,10,9,9,7
3,Good,9,10,10,9,7,10,6,9,8,9,8,10,10,10,10,7,10,10,4
2.77,Good,8,9,10,9,10,10,9,10,9,6,9,10,10,9,9,7,7,9,8
3.12,Good,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
3.12,Good,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3.12,Good,10,9,10,10,9,10,10,9,10,10,10,10,10,10,7,10,7,10,6
2.66,Needs some improvement,5,6,6,6,6,5,7,3,4,4,2,6,5,4,4,5,4,6,6
2.59,Needs some improvement,7,7,6,6,6,4,5,3,4,6,2,4,5,6,5,4,3,6,5
2.55,Needs some improvement,7,7,7,6,7,9,5,8,8,8,4,6,7,6,6,7,6,8,7
2.3,Needs some improvement,7,5,7,5,8,7,6,4,3,5,5,9,6,4,6,6,10,8,5
2.65,Needs some improvement,8,8,7,5,6,8,6,9,6,8,5,9,9,6,6,7,9,8,5
2.65,Needs some improvement,9,9,10,9,7,10,10,7,6,10,6,10,10,10,10,8,10,10,4
2.41,Needs some improvement,10,8,9,9,9,9,9,10,8,8,9,10,8,10,10,8,10,10,9
5,Outstanding,8,7,7,7,8,7,8,6,7,7,5,6,7,6,7,7,6,7,8
5,Outstanding,2,7,7,6,6,9,5,5,6,2,4,7,5,3,5,7,8,9,3
3.65,Excellent,7,7,7,7,8,7,8,6,7,7,6,6,6,6,7,7,5,7,8
3.85,Excellent,7,6,10,6,7,10,7,5,8,6,7,10,7,6,6,7,8,9,7
3.64,Excellent,8,8,8,7,7,8,8,6,8,7,6,7,7,6,7,7,10,8,7
3.67,Excellent,7,8,7,7,9,9,8,10,9,8,7,7,7,6,7,7,7,8,9
3.78,Excellent,10,7,9,10,8,10,8,5,7,8,4,9,10,6,9,6,4,10,6
3.64,Excellent,8,9,9,7,7,10,7,7,7,6,7,10,9,7,9,6,7,8,5
3.68,Excellent,8,9,7,7,6,8,8,8,8,7,7,7,6,8,8,8,7,9,5
3,Good,9,7,9,7,9,8,6,6,7,8,7,7,7,7,7,7,6,8,6
2.9,Good,9,9,8,7,8,4,7,7,7,8,6,7,8,6,5,5,7,8,8
2.88,Good,9,9,8,9,9,9,7,9,9,8,8,10,10,9,8,9,7,9,8
3,Good,8,9,9,8,8,10,8,6,8,7,9,9,7,8,7,6,9,9,7
2.88,Good,8,9,8,7,9,3,9,6,8,8,5,8,9,8,5,8,9,8,4
3,Good,7,9,6,8,8,8,8,9,7,9,6,7,7,5,6,7,8,8,8
3,Good,7,7,7,7,8,7,8,6,7,7,6,6,6,6,7,6,6,7,6
3,Good,7,8,7,6,6,8,8,4,7,6,4,5,7,3,3,1,7,7,4
2.94,Good,8,8,8,8,9,9,10,8,9,8,7,9,8,10,9,8,8,8,9
3,Good,9,9,8,7,8,10,8,5,8,7,4,8,7,6,7,8,7,8,8
3,Good,8,9,9,10,7,7,8,9,8,9,8,8,8,9,8,8,9,10,8
2.94,Good,6,6,5,6,7,9,6,6,7,6,6,9,6,5,4,6,8,8,5
3.35,Good,7,8,10,9,9,7,7,4,9,10,6,10,10,10,7,7,9,8,6
3,Good,8,8,7,7,6,8,8,7,7,6,7,8,6,6,6,5,9,8,7
3,Good,9,7,7,9,9,8,10,9,8,7,8,8,7,10,9,9,7,8,9
2.77,Good,3,4,5,5,6,3,1,1,3,3,1,2,3,3,3,3,1,5,2
2.88,Good,7,9,9,6,8,7,6,7,5,7,4,9,5,6,6,7,6,8,6
3,Good,6,7,6,6,6,5,5,5,6,5,7,7,6,4,9,6,9,9,10
3.23,Good,6,7,6,6,4,6,8,7,4,5,3,6,6,4,5,5,7,6,7
2.82,Good,9,8,7,7,8,9,8,6,7,7,7,8,8,8,8,8,7,7,7
3,Good,10,9,7,7,7,7,8,7,6,10,8,8,9,10,10,8,8,8,6
2.82,Good,8,9,5,7,7,6,8,6,6,5,6,6,6,6,7,7,5,7,8
3,Good,6,7,5,6,6,7,5,6,4,5,4,4,5,4,5,4,4,6,5
2.9,Good,9,9,9,9,9,10,5,9,9,9,8,10,10,9,9,9,8,10,3
3.53,Good,8,8,7,7,7,6,6,6,7,10,6,7,7,8,8,7,6,8,6
2.77,Good,9,9,8,9,8,10,9,8,8,7,7,9,10,8,8,8,9,8,8
2.94,Good,9,9,8,9,8,8,9,8,8,8,10,7,7,7,8,8,8,8,7
2.9,Good,7,9,7,5,6,3,6,8,8,9,5,6,6,5,6,7,5,7,4
2.95,Good,8,9,7,8,7,9,5,2,3,6,6,8,8,6,7,8,9,7,2
2.9,Good,10,10,10,10,10,10,10,10,10,10,10,7,7,8,8,8,10,10,10
2.94,Good,7,8,6,7,6,8,7,8,7,4,6,7,7,5,7,7,8,6,6
2.88,Good,4,5,5,7,4,6,5,6,5,5,3,6,7,3,4,3,4,6,2
2.82,Good,8,9,7,6,7,7,7,6,6,9,6,8,7,7,7,6,7,9,6
2.88,Good,8,8,7,7,7,7,8,7,8,7,7,7,7,7,7,9,7,8,8
3,Good,8,8,7,6,8,6,8,6,8,6,7,7,8,8,7,6,10,8,8
3,Good,7,8,6,7,7,7,7,7,6,7,6,6,7,7,7,5,6,7,6
3,Good,5,7,9,5,5,7,3,4,8,9,8,6,7,5,5,2,7,2,2
2.77,Good,9,8,9,9,6,7,9,9,9,9,8,9,8,8,8,8,9,10,5
2.82,Good,10,10,9,10,9,10,10,9,8,8,8,9,8,9,9,7,6,9,7
3.12,Good,8,6,7,6,6,7,6,8,6,8,5,7,7,6,5,7,7,8,7
2.88,Good,8,9,8,8,8,9,7,2,8,5,7,10,8,6,7,6,9,9,6
2.88,Good,8,8,8,7,8,8,7,6,8,7,5,6,7,6,7,7,6,7,7
3.32,Good,7,9,7,6,7,5,6,8,6,6,2,7,5,6,5,5,6,7,6
2.9,Good,8,9,8,8,9,8,8,10,9,7,8,10,7,10,8,9,10,9,7
3.12,Good,7,7,8,7,8,8,7,7,9,7,6,7,6,7,7,7,6,8,6
3,Good,10,7,9,6,8,10,9,8,7,9,8,10,10,6,6,5,7,7,4
3,Good,9,8,9,9,9,10,8,10,7,6,9,10,9,9,8,8,9,9,6
2.9,Good,7,8,9,8,7,10,10,7,7,8,7,9,10,9,10,9,10,10,4
3,Good,9,9,9,9,9,10,8,9,9,10,6,8,9,8,7,9,7,9,7
2.93,Good,8,9,8,7,8,9,7,6,8,6,6,10,9,9,8,9,8,8,5
3,Good,8,7,7,7,7,8,4,7,5,6,4,8,10,5,8,6,8,8,4
2.76,Good,7,8,7,7,8,7,7,8,8,9,7,8,8,9,7,5,8,8,8
2.94,Good,7,7,4,7,7,9,7,5,5,5,5,7,8,5,7,4,5,7,8
3,Good,10,10,10,10,9,7,10,8,9,9,8,9,7,10,9,9,9,10,8
3,Good,8,5,7,7,6,9,6,9,6,7,5,8,8,5,6,3,4,8,4
2.94,Good,10,9,10,10,10,9,10,10,10,8,8,10,10,10,10,10,10,10,9
2.9,Good,6,3,5,3,6,4,7,6,3,6,4,6,6,5,3,2,4,7,2
3,Good,6,7,7,7,8,7,7,7,9,8,5,6,5,4,6,7,6,8,6
2.94,Good,9,7,6,5,7,8,5,6,8,6,7,8,6,6,3,7,8,7,7
2.82,Good,10,10,10,8,10,10,10,9,9,10,8,10,10,10,10,10,10,8,8
2.77,Good,7,8,5,5,6,4,5,2,1,1,5,6,6,4,7,3,6,7,5
3.23,Good,8,7,7,7,6,8,5,7,8,6,4,6,7,5,7,5,6,7,3
3.23,Good,8,8,7,7,8,8,7,6,7,5,7,7,7,7,7,7,9,8,8
2.98,Good,9,9,8,8,8,7,8,6,9,9,5,7,5,4,8,8,9,8,9
2.78,Good,10,9,10,9,10,10,7,3,5,7,5,9,8,9,6,8,7,10,6
2.98,Good,7,7,7,6,7,4,6,4,4,5,6,6,6,6,3,6,6,8,5
3.29,Good,9,9,7,7,6,7,5,5,7,6,3,10,7,5,7,5,8,8,5
3.12,Good,8,9,8,8,8,8,7,7,8,6,7,8,8,6,8,7,6,7,7
3,Good,7,7,9,9,7,8,7,9,8,7,8,7,7,8,8,8,8,8,5
3.12,Good,8,7,6,8,8,8,8,8,6,6,6,8,7,7,7,7,7,7,7
2.9,Good,10,10,10,9,10,10,9,8,8,10,8,8,10,9,8,9,10,9,8
2.88,Good,9,7,7,6,7,8,6,7,7,6,6,8,8,5,5,5,6,9,5
2.88,Good,9,9,6,8,9,4,8,8,2,9,1,9,10,8,8,1,6,10,2
2.88,Good,8,8,8,6,8,8,7,7,7,7,8,7,7,6,6,6,8,9,8
2.88,Good,7,7,7,7,8,5,8,6,7,6,6,6,6,6,7,7,5,7,7
2.47,Needs some improvement,9,9,8,7,5,6,4,6,5,8,3,6,3,7,5,5,7,9,5
2.18,Needs some improvement,5,7,4,5,6,4,6,5,4,5,4,3,4,5,4,3,3,5,6
2.47,Needs some improvement,9,9,9,9,9,9,9,8,9,9,8,9,7,8,8,8,9,8,9
2.59,Needs some improvement,10,9,8,10,9,9,9,8,9,8,9,10,10,10,9,9,8,9,9
2.62,Needs some improvement,7,5,5,6,7,7,6,6,7,6,7,7,7,6,7,7,7,8,3
2.57,Needs some improvement,6,7,7,5,7,7,5,5,6,6,5,9,6,7,5,6,7,9,5
2.67,Needs some improvement,8,8,8,7,8,8,9,6,8,9,5,7,7,7,6,7,6,8,6
2.53,Needs some improvement,7,9,8,8,10,9,6,8,9,10,7,10,9,5,7,8,8,10,7
2.65,Needs some improvement,8,10,10,8,8,9,6,7,9,10,10,7,10,9,8,10,7,9,7
2.3,Needs some improvement,10,9,9,7,9,5,6,7,5,6,4,6,4,7,5,5,5,8,4
2.43,Needs some improvement,4,7,5,7,4,4,6,6,4,2,5,5,5,3,5,5,4,6,7